day,accuracy,prediction_confidence,data_freshness_hours,request_volume,feature_0_mean,feature_0_std,feature_1_mean,feature_1_std,feature_2_mean,feature_2_std,feature_3_mean,feature_3_std,feature_4_mean,feature_4_std,feature_5_mean,feature_5_std,feature_6_mean,feature_6_std,feature_7_mean,feature_7_std
19,0.9232,0.9081,2.1,3817,-0.0631,0.9236,-0.0549,0.9888,-0.0435,0.952,0.0055,1.039,0.0845,1.0226,0.0814,1.0135,-0.0152,1.011,0.0042,0.9282
20,0.922,0.9097,1.3,4704,0.0083,0.9161,0.0217,1.0341,0.085,1.0286,-0.07,0.9944,0.0387,1.0488,-0.0436,1.0324,0.0366,1.0616,0.1001,0.9843
21,0.927,0.923,1.9,11076,-0.0095,1.0992,0.1077,1.0016,0.091,1.0855,-0.0421,1.0032,-0.009,1.0488,0.0415,0.9758,0.0347,0.8751,-0.0499,0.9672
22,0.9284,0.8958,2.3,9884,-0.0778,1.008,0.0012,1.0253,0.1151,1.0253,0.0231,0.99,-0.0487,0.9262,0.0509,0.9931,0.0239,0.954,-0.0526,0.9633
23,0.9095,0.8968,1.6,10629,-0.0123,1.0355,-0.0316,0.9739,-0.0061,0.9984,-0.0254,0.9755,0.0477,1.0651,0.0118,0.9247,0.0207,1.0338,0.0288,0.972
24,0.9263,0.9003,1.5,9241,-0.0158,0.9217,-0.0073,0.9294,0.0464,1.0029,0.0031,0.9918,-0.0053,0.9725,0.0107,1.0103,-0.0003,1.0097,0.0634,1.0858
25,0.9175,0.9091,1.1,9704,-0.1116,1.0362,-0.0953,1.0316,-0.0451,1.0369,0.0392,0.9723,0.0579,0.9853,0.1127,0.914,-0.0749,0.9909,-0.0993,1.0771
26,0.9166,0.9132,2.1,4690,0.0835,0.9814,0.0443,1.0717,-0.0924,0.9875,0.0367,1.0017,-0.0683,0.9059,0.0213,1.0422,-0.0405,1.0243,-0.0164,1.1011
27,0.928,0.8965,1.6,3999,0.0039,0.959,-0.0783,0.9322,-0.0298,0.98,0.0418,0.8913,0.0519,1.0806,0.008,0.9896,-0.0344,1.0036,0.0379,1.0702
28,0.9259,0.9024,0.6,10000,0.0477,0.9477,0.0298,1.0145,-0.0434,1.0066,-0.0903,1.0135,-0.0478,1.007,0.0438,0.957,-0.0016,1.132,0.0695,1.0281
29,0.9252,0.9012,1.9,9952,0.0335,1.0154,-0.0146,0.9991,0.0543,1.0217,0.0002,0.9814,-0.03,1.0296,0.0924,1.0253,-0.0147,0.9137,-0.0737,0.9916
30,0.9198,0.905,1.8,9691,0.048,0.9893,0.0442,0.964,0.0309,0.9877,-0.0007,1.0056,0.0509,0.9214,0.0429,1.0156,-0.0566,0.9975,0.0056,0.9424
31,0.9215,0.8996,1.5,9794,0.0011,1.0407,-0.0262,1.0864,0.0577,0.9877,-0.1127,1.0196,-0.0074,1.0274,-0.0715,0.9742,-0.0326,0.9598,0.0828,0.9677
32,0.9274,0.8925,2.9,10252,-0.0434,0.9567,0.0197,0.9611,-0.0246,0.9665,0.0297,1.0385,0.0385,0.9388,-0.0165,1.0083,0.0013,0.9467,0.0542,0.9745
33,0.9334,0.9,2.0,3997,-0.0188,0.9451,0.0802,0.9898,-0.0592,1.0225,0.0033,0.9776,-0.0537,1.0247,0.0482,1.0334,0.0105,0.9273,-0.0314,1.0486
34,0.9306,0.9155,2.7,3926,-0.0197,0.9898,-0.1513,1.0695,-0.0452,0.9477,-0.0255,0.8589,0.0067,0.9397,0.0343,0.9615,-0.0388,0.9307,-0.008,0.9263
35,0.9189,0.8976,2.2,10984,0.0611,0.9864,-0.0143,0.9738,-0.0008,0.9696,-0.0467,1.0496,0.001,1.0066,0.0111,1.0182,-0.0084,0.9626,0.0428,0.9409
36,0.9289,0.9144,1.8,10413,-0.0481,1.0083,-0.0514,0.9499,-0.0059,1.0835,-0.0718,0.9751,0.0796,0.9638,-0.0102,0.9639,0.0077,0.9444,-0.0275,1.0351
37,0.9086,0.8819,2.0,9381,-0.0731,1.0427,0.0001,0.9294,-0.0522,0.9648,-0.0172,1.0484,-0.0758,0.9294,-0.0271,0.9416,0.0194,1.0198,-0.0878,0.9453
38,0.9075,0.8864,2.3,10438,0.0048,1.0142,0.0368,0.9745,-0.0382,1.0246,-0.0137,0.9954,0.0131,1.0111,-0.0165,1.0219,-0.0528,1.0031,0.0309,0.9608
39,0.9147,0.905,1.6,10050,-0.0635,1.0863,-0.0311,1.0034,0.0006,0.9722,0.1072,1.0301,0.0466,0.9359,0.0095,0.8726,0.0559,1.0642,0.0811,1.0202
40,0.9119,0.8775,2.2,3465,-0.0255,1.0448,-0.0859,1.0132,0.0584,0.9385,-0.1183,0.9828,-0.0392,1.0256,0.0169,0.9487,-0.0087,1.0095,-0.0655,1.04
41,0.92,0.8875,2.1,3991,0.0014,0.9426,0.0523,1.0224,0.1064,0.9706,0.0174,0.9194,0.0555,0.9386,0.1212,0.9702,-0.041,1.004,0.1455,0.9901
42,0.9205,0.9058,2.0,10483,-0.031,1.0022,-0.0606,0.9794,-0.1038,1.083,0.0531,1.0635,0.0674,0.9915,-0.0544,0.9733,-0.0261,1.0993,-0.0126,0.9454
43,0.9031,0.8844,3.1,9609,-0.0036,0.9931,0.0116,0.9193,-0.0553,1.037,-0.0865,1.0165,0.0526,1.0122,0.0046,1.0302,-0.0671,0.989,-0.0128,0.9742
44,0.9095,0.8755,2.1,8697,-0.0412,0.8843,-0.0692,0.9748,-0.0263,0.9485,0.0393,1.0407,0.0545,0.939,-0.0293,1.051,0.0135,0.9577,0.0259,1.0662
45,0.9206,0.8978,2.6,10436,0.0438,0.9524,-0.0594,0.9684,-0.0667,1.0206,0.0003,1.023,-0.0597,1.0629,0.0351,0.9845,0.0061,0.9862,-0.0034,1.0144
46,0.9295,0.8977,1.5,10309,-0.1036,1.0012,0.0812,0.9613,0.0243,1.0256,-0.0143,1.0658,0.0432,1.0441,0.0221,1.0162,0.0392,1.0046,-0.019,0.9074
47,0.9146,0.9074,2.4,3999,0.0048,1.0019,0.0366,1.012,-0.0034,1.0585,-0.0725,1.0538,0.0355,1.0247,0.0749,0.9672,0.0159,1.0848,-0.0268,0.9922
48,0.9224,0.8807,2.4,3457,0.0156,1.0473,-0.0244,0.9944,0.0455,0.968,0.1081,1.0654,0.0215,0.9899,0.0367,1.0952,-0.0864,1.0285,0.0225,1.0054
49,0.9009,0.8902,2.3,9801,-0.0922,1.0498,-0.006,1.1296,0.0715,1.0828,-0.053,0.955,0.0262,0.9921,0.0957,1.0637,-0.0307,0.9768,0.0654,0.974
50,0.918,0.8931,1.9,9642,-0.0273,1.0398,0.0135,1.0311,0.0994,0.978,-0.077,1.0059,-0.0704,1.0502,0.1506,1.0053,0.0074,1.0033,0.0685,1.0728
51,0.9309,0.9108,1.8,10097,-0.0478,1.0867,0.1214,1.1126,-0.0017,0.976,0.0086,0.963,0.068,0.9629,0.0343,1.0276,0.0767,1.0063,0.1064,0.9316
52,0.9087,0.8944,2.0,11033,-0.1393,1.1129,-0.0438,1.0429,0.1458,1.042,-0.0382,1.1132,-0.0686,0.9767,0.1605,1.0277,-0.0662,1.0219,0.0642,0.9678
53,0.9185,0.9037,2.1,9077,-0.0278,1.0342,0.0449,1.0659,0.002,1.011,0.0665,1.0075,0.0515,1.0041,0.1135,0.9044,-0.0316,1.0022,0.0289,1.0134
54,0.9157,0.8998,2.8,4067,0.0557,0.9751,0.0411,0.9401,0.206,1.0835,0.039,0.9999,0.0058,1.0036,0.2165,0.9884,0.019,0.9335,0.0957,0.9463
55,0.9097,0.8892,2.9,3260,-0.0679,1.029,0.0019,1.0387,0.2352,1.013,-0.1015,1.022,0.0491,1.0749,0.1503,0.9766,-0.0149,1.0729,-0.0712,0.9789
56,0.9304,0.9046,2.1,10070,0.0812,1.0107,0.0466,0.935,0.1211,1.0924,-0.0312,1.0156,-0.0138,0.9501,0.2727,1.0078,0.0216,0.9972,-0.0913,1.0194
57,0.9136,0.881,2.1,10006,-0.0275,1.0077,0.1029,1.0103,0.2536,0.9921,-0.0603,1.0151,-0.0052,0.9472,0.1249,1.0672,0.0005,0.9368,-0.0626,0.9747
58,0.9196,0.888,1.9,10413,-0.02,0.9445,0.0307,1.017,0.1887,1.042,0.0303,0.9887,-0.0299,1.0119,0.1699,1.0096,-0.0384,0.9545,-0.0446,1.0185
59,0.9205,0.8849,1.3,10694,-0.0002,1.0201,-0.0225,0.975,0.1901,1.0107,-0.0481,0.9949,-0.0085,0.9135,0.2317,0.9786,-0.0455,1.0145,-0.0392,0.983
60,0.7475,0.7341,32.7,10707,0.0743,0.9818,0.0143,0.9539,0.2577,0.9938,0.0125,1.0148,-0.0552,0.9539,0.1829,1.1015,-0.0369,0.9565,-0.0152,1.0727
61,0.7794,0.7575,24.2,3988,-0.0581,0.9407,0.0009,0.999,0.2638,0.9964,-0.0038,1.0173,0.0677,1.0546,0.225,1.0362,0.0636,0.9482,0.0301,0.9606
62,0.7653,0.722,33.4,4549,0.0639,1.0626,-0.0203,0.9233,0.2894,1.0195,-0.0176,1.0155,0.0391,1.0005,0.293,1.0371,0.0742,1.0239,-0.0393,0.9882
63,0.7631,0.7513,34.2,10156,0.0075,1.0188,0.0897,0.9807,0.2021,0.9553,-0.0012,1.005,-0.0141,1.0345,0.2664,0.9637,-0.0095,0.9986,-0.0414,0.9625
64,0.9249,0.9102,2.5,10178,0.0016,0.9271,-0.0059,0.9726,0.3345,0.9398,-0.023,1.0478,-0.0548,0.9598,0.237,1.0023,0.0411,0.9749,-0.0054,1.029
65,0.9157,0.888,1.8,9409,0.0633,1.079,-0.0564,0.9442,0.2834,0.9689,0.0143,1.0925,0.0328,0.9687,0.3545,1.1127,-0.0653,1.0646,0.0242,1.0013
66,0.934,0.9077,1.3,9873,-0.014,1.0448,0.1507,1.0909,0.2115,1.0491,0.0551,1.0819,0.0269,0.9876,0.3449,1.0143,0.0358,0.9241,-0.0773,0.9581
67,0.9282,0.9005,1.8,10100,0.0643,0.9578,0.1153,1.0202,0.3297,1.0069,0.128,0.995,0.0311,1.0068,0.3023,1.1003,0.0365,1.0004,0.0224,0.9967
68,0.915,0.9155,2.1,3795,-0.0174,0.893,0.0123,1.0395,0.3461,1.0689,0.0049,0.9962,0.0288,0.9185,0.3477,1.0848,0.087,0.9275,0.0356,0.9579
69,0.9429,0.9156,1.6,3785,-0.0031,1.0334,0.073,0.9776,0.3514,1.053,0.0498,1.0724,0.0772,0.9426,0.4365,0.9707,0.092,0.9288,-0.0559,0.9178
70,0.9058,0.8839,1.8,9861,-0.0235,1.0065,0.0665,0.9673,0.353,1.0537,0.0738,0.9991,0.0692,0.9845,0.3765,0.9691,-0.0273,1.107,-0.0072,0.9906
71,0.905,0.8756,1.9,10106,-0.007,0.9763,0.0232,1.0152,0.4267,1.0276,0.0083,1.0573,0.0746,1.0583,0.428,1.0038,-0.0601,1.0583,-0.0752,0.98
72,0.9097,0.8928,3.1,10229,-0.0517,1.0137,-0.0857,0.9492,0.343,1.0224,-0.0954,1.0278,0.0058,0.9678,0.4027,0.9979,0.0008,0.9612,0.0036,1.0057
73,0.9346,0.9071,2.0,10947,-0.0259,1.0922,0.0525,0.999,0.379,1.0556,0.0161,1.0791,-0.0155,1.0479,0.5031,1.0699,0.0296,1.0372,-0.0181,0.9785
74,0.9206,0.8941,2.7,10608,-0.0073,0.9455,-0.082,0.9575,0.4137,1.0283,0.0006,1.0177,0.0169,0.9555,0.4828,1.0348,0.0064,1.0076,-0.0009,0.9663
75,0.9179,0.9035,2.5,3952,0.0766,0.9378,-0.0489,1.0068,0.4795,1.0566,0.0018,0.9926,-0.0282,0.9635,0.4135,0.9963,-0.0627,0.9776,0.0075,1.0192
76,0.9279,0.8972,1.5,3546,-0.0117,1.0581,0.0664,0.9538,0.4312,1.0098,-0.0131,1.0337,-0.0772,0.9876,0.512,1.0318,-0.0274,0.9316,-0.0577,1.0133
77,0.9231,0.9052,1.6,10067,0.0338,1.076,0.0123,0.9602,0.4408,1.0657,0.0337,0.9664,0.1347,1.0169,0.4643,1.0078,-0.0329,0.9597,-0.0719,1.0362
78,0.9302,0.9014,1.7,10722,0.0758,0.9427,0.051,1.0586,0.4889,1.0456,-0.0129,1.029,-0.0775,1.0268,0.4248,1.0785,0.0316,1.0738,0.0833,1.0702
79,0.9238,0.9039,2.0,10106,0.004,0.9442,-0.0623,0.9608,0.4683,0.97,-0.0417,1.0179,0.0558,1.0619,0.5046,1.0456,0.0518,0.9919,-0.0289,1.0165
80,0.9121,0.8868,1.3,10097,0.0014,1.0069,0.0044,1.0687,0.5106,0.9887,-0.0079,0.9758,0.0753,1.0007,0.5047,1.0174,-0.0136,0.9531,-0.0142,1.0409
81,0.9277,0.9137,2.7,10044,-0.0947,1.0906,-0.0504,1.0132,0.5659,1.0021,-0.0234,1.0013,-0.0828,1.0549,0.5452,1.0017,0.0644,1.0397,0.0049,1.0271
82,0.9195,0.8998,2.6,4162,-0.0024,1.038,-0.038,1.038,0.5703,1.0254,-0.0501,0.9372,-0.0756,0.9505,0.5194,1.0525,-0.0153,1.0331,-0.0214,1.0403
83,0.9279,0.9065,2.6,3199,0.0197,0.9719,0.0002,1.0208,0.5198,1.0359,0.0386,1.0264,-0.0341,0.9757,0.6272,1.1213,-0.0664,1.018,0.0524,0.9809
84,0.918,0.8944,0.8,9750,0.0116,1.0057,0.0445,0.9723,0.5434,1.0445,-0.0132,1.0727,-0.0343,0.9715,0.5551,0.9861,-0.0965,1.1065,0.0134,0.9976
85,0.9159,0.9026,2.8,10639,-0.0595,0.9677,0.0753,1.1487,0.5771,1.0055,-0.0021,1.0517,-0.0863,0.9657,0.6225,1.0139,-0.0333,1.0018,-0.0297,0.9677
86,0.9266,0.8871,1.8,9809,0.0708,0.9889,-0.092,1.067,0.6009,1.0277,-0.0767,1.1292,-0.1642,1.0373,0.6661,1.0891,-0.0698,0.9509,-0.0092,0.8593
87,0.9226,0.9141,1.2,10714,0.018,0.9371,-0.069,0.9988,0.6052,1.0332,0.0785,0.9532,-0.0013,0.9725,0.6899,0.9857,-0.0916,0.9395,-0.054,1.0195
88,0.927,0.9117,2.0,9914,0.0186,0.957,-0.025,1.0052,0.6605,1.0874,-0.0092,0.9661,-0.036,0.9339,0.6101,1.0166,0.0715,1.0554,0.0313,1.0706
89,0.9106,0.881,2.0,2658,0.0245,1.0665,0.0635,0.95,0.713,1.1037,-0.0347,0.9793,0.0047,0.9263,0.6162,1.0741,-0.0087,1.0003,-0.0505,0.945
90,0.91,0.8847,2.5,4278,0.0293,1.0028,-0.0147,1.0784,0.6324,0.9875,0.0133,1.0391,-0.0151,0.867,0.7105,1.0542,-0.0972,0.9451,-0.1043,0.9966
